Book_book_name,Book_rating,Book_cover,Book_cover_url,Author,Translator,Publisher,Year,Price
雪国之劫,5.8,https://img3.doubanio.com/view/subject/l/public/s26711283.jpg,https://book.douban.com/subject/24720957/,东野圭吾 , 郑悦 ,上海译文出版社 ,2013,33
学生街的日子,6.8,https://img3.doubanio.com/view/subject/l/public/s29868101.jpg,https://book.douban.com/subject/30276769/,东野圭吾 , 王维幸 ,南海出版公司 ,2018,49.5
分身,7.3,https://img3.doubanio.com/view/subject/l/public/s28899083.jpg,https://book.douban.com/subject/26792376/,东野圭吾 , 王维幸 ,南海出版公司 ,2016,39.5
布谷鸟的蛋是谁的,6.3,https://img1.doubanio.com/view/subject/l/public/s6328289.jpg,https://book.douban.com/subject/5290397/,东野圭吾 , 马杰 ,新星出版社 ,2011,30
虚像小丑,6.8,https://img1.doubanio.com/view/subject/l/public/s28119818.jpg,https://book.douban.com/subject/25754002/,东野圭吾 , 郑悦 ,上海译文出版社 ,2014,35
那时的某人,6.4,https://img3.doubanio.com/view/subject/l/public/s29324836.jpg,https://book.douban.com/subject/26911126/,东野圭吾 , 吐雅 , 译林出版社 ,2017,39.8
幻夜,7.5,https://img3.doubanio.com/view/subject/l/public/s28022211.jpg,https://book.douban.com/subject/25731139/,东野圭吾 , 李炜 ,南海出版公司 ,2013,39.5
湖畔杀人事件,7.3,https://img3.doubanio.com/view/subject/l/public/s25801444.jpg,https://book.douban.com/subject/21365370/,东野圭吾 , 沈杨 ,天津人民出版社 ,2013,28
侦探俱乐部,6.7,https://img3.doubanio.com/view/subject/l/public/s24420041.jpg,https://book.douban.com/subject/19964966/,东野圭吾 , 李盈春 ,南海出版公司 ,2013,28
天空之蜂,6.6,https://img1.doubanio.com/view/subject/l/public/s27969928.jpg,https://book.douban.com/subject/26264953/,东野圭吾 , 王维幸 ,南海出版公司 ,2015,39.5
怪人们,6.5,https://img1.doubanio.com/view/subject/l/public/s4460849.jpg,https://book.douban.com/subject/4903189/,东野圭吾 , 尹月 ,人民文学出版社 ,2010,22
造彩虹的人,6.3,https://img3.doubanio.com/view/subject/l/public/s29449646.jpg,https://book.douban.com/subject/27037149/,东野圭吾 , 吕灵芝 ,北京十月文艺出版社 ,2017,39.5
从前我死去的家,7.9,https://img3.doubanio.com/view/subject/l/public/s29797641.jpg,https://book.douban.com/subject/30245830/,东野圭吾 , 李盈春 ,北京十月文艺出版社 ,2018,49.5
悖论13,7.3,https://img3.doubanio.com/view/subject/l/public/s27401893.jpg,https://book.douban.com/subject/25957816/,东野圭吾 , 林青华 ,南海出版公司 ,2014,39.5
圣女的救赎,7.8,https://img3.doubanio.com/view/subject/l/public/s27305515.jpg,https://book.douban.com/subject/25866561/,东野圭吾 , 袁斌 ,接力出版社 ,2014,24.8
预知梦,7.2,https://img1.doubanio.com/view/subject/l/public/s26250817.jpg,https://book.douban.com/subject/22993089/,东野圭吾 , 陆章敏 ,化学工业出版社 ,2013,28
酷酷的代课老师,6.7,https://img3.doubanio.com/view/subject/l/public/s29925050.jpg,https://book.douban.com/subject/26390248/,东野圭吾 , 代珂 ,南海出版公司 ,2015,29.5
使命与魂的尽头,7.3,https://img1.doubanio.com/view/subject/l/public/s26644128.jpg,https://book.douban.com/subject/24384166/,东野圭吾 , 刘姿君 ,南海出版公司 ,2013,32
第十年的情人节,6.8,https://img3.doubanio.com/view/subject/l/public/s29561701.jpg,https://book.douban.com/subject/27125950/,东野圭吾 , 朱田云 ,人民文学出版社 ,2017,49.9
幻夜,7.2,https://img3.doubanio.com/view/subject/l/public/s29968890.jpg,https://book.douban.com/subject/27666929/,东野圭吾 , 李炜 ,南海出版公司 ,2018,59.6
预知梦,7,https://img3.doubanio.com/view/subject/l/public/s32328083.jpg,https://book.douban.com/subject/30433571/,东野圭吾 , 吕灵芝 ,南海出版公司 ,2019,49.5
侦探伽利略,7.6,https://img3.doubanio.com/view/subject/l/public/s32292164.jpg,https://book.douban.com/subject/30448044/,东野圭吾 , 蓝佳 ,南海出版公司 ,2019,49.5
